hours_social_media,sleep_hours,platform_primary,addiction_score,acad_impact,heavy_user,sleep_ok,platform_group
5.2,6.5,Instagram,8,1.0,0,0,Image-centric
2.1,7.5,Twitter,3,0.0,0,1,Other
6.0,5.0,TikTok,9,1.0,1,0,Short-video
3.0,7.0,YouTube,4,0.0,0,1,Short-video
4.5,6.0,Facebook,7,1.0,0,0,Other
7.2,4.5,Instagram,9,1.0,1,0,Image-centric
1.5,8.0,LinkedIn,2,0.0,0,1,Professional/Forum
5.8,6.0,Snapchat,8,1.0,1,0,Image-centric
4.0,6.5,TikTok,5,0.0,0,0,Short-video
3.3,7.0,Instagram,4,0.0,0,1,Image-centric
4.8,6.2,Snapchat,7,1.0,0,0,Image-centric
5.5,5.8,TikTok,8,1.0,0,0,Short-video
2.8,7.2,LinkedIn,4,0.0,0,1,Professional/Forum
6.5,5.5,Instagram,9,1.0,1,0,Image-centric
3.7,6.8,YouTube,5,0.0,0,0,Short-video
4.2,6.0,TikTok,7,1.0,0,0,Short-video
2.0,7.8,LinkedIn,3,0.0,0,1,Professional/Forum
5.0,5.7,Instagram,8,1.0,0,0,Image-centric
3.5,6.7,Facebook,5,0.0,0,0,Other
4.7,5.9,Snapchat,7,1.0,0,0,Image-centric
5.3,5.5,TikTok,8,1.0,0,0,Short-video
2.5,7.3,LinkedIn,4,0.0,0,1,Professional/Forum
4.9,5.8,Instagram,7,1.0,0,0,Image-centric
5.7,5.4,TikTok,8,1.0,0,0,Short-video
3.2,6.9,Facebook,5,0.0,0,0,Other
6.1,5.2,Instagram,9,1.0,1,0,Image-centric
3.8,6.6,YouTube,5,0.0,0,0,Short-video
4.4,5.9,TikTok,7,1.0,0,0,Short-video
2.2,7.4,LinkedIn,3,0.0,0,1,Professional/Forum
5.9,5.3,Instagram,8,1.0,1,0,Image-centric
3.6,6.7,Facebook,5,0.0,0,0,Other
4.8,5.7,Snapchat,7,1.0,0,0,Image-centric
5.4,5.4,TikTok,8,1.0,0,0,Short-video
2.6,7.2,LinkedIn,4,0.0,0,1,Professional/Forum
4.7,5.8,Instagram,7,1.0,0,0,Image-centric
5.6,5.5,TikTok,8,1.0,0,0,Short-video
3.1,6.8,Facebook,5,0.0,0,0,Other
6.2,5.1,Instagram,9,1.0,1,0,Image-centric
3.9,6.5,YouTube,6,0.0,0,0,Short-video
4.5,5.8,TikTok,7,1.0,0,0,Short-video
2.3,7.3,LinkedIn,4,0.0,0,1,Professional/Forum
5.8,5.4,Instagram,8,1.0,1,0,Image-centric
3.7,6.6,Facebook,5,0.0,0,0,Other
4.6,5.7,Snapchat,7,1.0,0,0,Image-centric
5.5,5.3,TikTok,8,1.0,0,0,Short-video
2.7,7.1,LinkedIn,4,0.0,0,1,Professional/Forum
4.8,5.9,Instagram,7,1.0,0,0,Image-centric
5.5,5.6,TikTok,8,1.0,0,0,Short-video
3.3,6.7,Facebook,5,0.0,0,0,Other
6.3,5.2,Instagram,9,1.0,1,0,Image-centric
3.8,6.4,YouTube,6,0.0,0,0,Short-video
4.7,5.8,TikTok,7,1.0,0,0,Short-video
2.4,7.2,LinkedIn,4,0.0,0,1,Professional/Forum
5.7,5.5,Instagram,8,1.0,0,0,Image-centric
3.6,6.5,Facebook,5,0.0,0,0,Other
4.9,5.6,Snapchat,7,1.0,0,0,Image-centric
5.6,5.2,TikTok,8,1.0,0,0,Short-video
2.8,7.0,LinkedIn,4,0.0,0,1,Professional/Forum
4.6,5.9,Instagram,7,1.0,0,0,Image-centric
5.4,5.7,TikTok,8,1.0,0,0,Short-video
3.1,7.1,Facebook,5,0.0,0,1,Other
5.6,5.6,Instagram,8,1.0,0,0,Image-centric
4.2,6.0,TikTok,7,1.0,0,0,Short-video
6.1,5.2,Snapchat,9,1.0,1,0,Image-centric
2.3,7.4,LinkedIn,3,0.0,0,1,Professional/Forum
4.8,5.8,Instagram,7,1.0,0,0,Image-centric
3.9,6.5,YouTube,6,0.0,0,0,Short-video
5.7,5.4,TikTok,8,1.0,0,0,Short-video
2.8,7.2,LinkedIn,4,0.0,0,1,Professional/Forum
4.5,5.9,Instagram,7,1.0,0,0,Image-centric
5.4,5.5,Snapchat,8,1.0,0,0,Image-centric
3.2,6.8,Facebook,5,0.0,0,0,Other
